Thu Jun  5 23:31:38 -03 2025
Running test 1 for UF: brazil with algorithm: ACO
AntColonyOptimization::new() called with 5570 cities, using 25 antsExecute AntColonyOptimization
Iteration 384: Best Cost = 1460.2032
Iteration 385: Best Cost = 1460.2032
Iteration 386: Best Cost = 1460.2032
Iteration 387: Best Cost = 1460.2032
Iteration 388: Best Cost = 1460.2032
Iteration 389: Best Cost = 1460.2032
Iteration 390: Best Cost = 1460.2032
Iteration 391: Best Cost = 1460.2032
Iteration 392: Best Cost = 1460.2032
Iteration 393: Best Cost = 1460.2032
Iteration 394: Best Cost = 1460.2032
Iteration 395: Best Cost = 1460.2032
Iteration 396: Best Cost = 1460.2032
Iteration 397: Best Cost = 1460.2032
Iteration 398: Best Cost = 1460.2032
Iteration 399: Best Cost = 1460.2032
Iteration 400: Best Cost = 1460.2032
Iteration 401: Best Cost = 1460.2032
Iteration 402: Best Cost = 1460.2032
Iteration 403: Best Cost = 1460.2032
Iteration 404: Best Cost = 1460.2032
Iteration 405: Best Cost = 1460.2032
Iteration 406: Best Cost = 1460.2032
Iteration 407: Best Cost = 1460.2032
Iteration 408: Best Cost = 1460.2032
Iteration 409: Best Cost = 1460.2032
Iteration 410: Best Cost = 1460.2032
Iteration 411: Best Cost = 1460.2032
Iteration 412: Best Cost = 1460.2032
Iteration 413: Best Cost = 1460.2032
Iteration 414: Best Cost = 1460.2032
Iteration 415: Best Cost = 1460.2032
Iteration 416: Best Cost = 1460.2032
Iteration 417: Best Cost = 1460.2032
Iteration 418: Best Cost = 1460.2032
Iteration 419: Best Cost = 1460.2032
Iteration 420: Best Cost = 1460.2032
Iteration 421: Best Cost = 1460.2032
Iteration 422: Best Cost = 1460.2032
Iteration 423: Best Cost = 1460.2032
Iteration 424: Best Cost = 1460.2032
Iteration 425: Best Cost = 1460.2032
Iteration 426: Best Cost = 1460.2032
Iteration 427: Best Cost = 1460.2032
Iteration 428: Best Cost = 1460.2032
Iteration 429: Best Cost = 1460.2032
Iteration 430: Best Cost = 1460.2032
Iteration 431: Best Cost = 1460.2032
Iteration 432: Best Cost = 1460.2032
Iteration 433: Best Cost = 1460.2032
Iteration 434: Best Cost = 1460.2032
Iteration 435: Best Cost = 1460.2032
Iteration 436: Best Cost = 1460.2032
Iteration 437: Best Cost = 1460.2032
Iteration 438: Best Cost = 1460.2032
Iteration 439: Best Cost = 1460.2032
Iteration 440: Best Cost = 1460.2032
Iteration 441: Best Cost = 1460.2032
Iteration 442: Best Cost = 1460.2032
Iteration 443: Best Cost = 1460.2032
Iteration 444: Best Cost = 1460.2032
Iteration 445: Best Cost = 1460.2032
Iteration 446: Best Cost = 1460.2032
Iteration 447: Best Cost = 1460.2032
Iteration 448: Best Cost = 1460.2032
Iteration 449: Best Cost = 1460.2032
Iteration 450: Best Cost = 1460.2032
Iteration 451: Best Cost = 1460.2032
Iteration 452: Best Cost = 1460.2032
Iteration 453: Best Cost = 1460.2032
Iteration 454: Best Cost = 1460.2032
Iteration 455: Best Cost = 1460.2032
Iteration 456: Best Cost = 1460.2032
Iteration 457: Best Cost = 1460.2032
Iteration 458: Best Cost = 1460.2032
Iteration 459: Best Cost = 1460.2032
Iteration 460: Best Cost = 1460.2032
Iteration 461: Best Cost = 1460.2032
Iteration 462: Best Cost = 1460.2032
Iteration 463: Best Cost = 1460.2032
Iteration 464: Best Cost = 1460.2032
Iteration 465: Best Cost = 1460.2032
Iteration 466: Best Cost = 1460.2032
Iteration 467: Best Cost = 1460.2032
Iteration 468: Best Cost = 1460.2032
Iteration 469: Best Cost = 1460.2032
Iteration 470: Best Cost = 1460.2032
Iteration 471: Best Cost = 1460.2032
Iteration 472: Best Cost = 1460.2032
Iteration 473: Best Cost = 1460.2032
Iteration 474: Best Cost = 1460.2032
Iteration 475: Best Cost = 1460.2032
Iteration 476: Best Cost = 1460.2032
Iteration 477: Best Cost = 1460.2032
Iteration 478: Best Cost = 1460.2032
Iteration 479: Best Cost = 1460.2032
Iteration 480: Best Cost = 1460.2032
Iteration 481: Best Cost = 1460.2032
Iteration 482: Best Cost = 1460.2032
Iteration 483: Best Cost = 1460.2032
Iteration 484: Best Cost = 1460.2032
Iteration 485: Best Cost = 1460.2032
Iteration 486: Best Cost = 1460.2032
Iteration 487: Best Cost = 1460.2032
Iteration 488: Best Cost = 1460.2032
Iteration 489: Best Cost = 1460.2032
Iteration 490: Best Cost = 1460.2032
Iteration 491: Best Cost = 1460.2032
Iteration 492: Best Cost = 1460.2032
Iteration 493: Best Cost = 1460.2032
Iteration 494: Best Cost = 1460.2032
Iteration 495: Best Cost = 1460.2032
Iteration 496: Best Cost = 1460.2032
Iteration 497: Best Cost = 1460.2032
Iteration 498: Best Cost = 1460.2032
Iteration 499: Best Cost = 1460.2032
Iteration 500: Best Cost = 1460.2032
Iteration 501: Best Cost = 1460.2032
Iteration 502: Best Cost = 1460.2032
Iteration 503: Best Cost = 1460.2032
Iteration 504: Best Cost = 1460.2032
Iteration 505: Best Cost = 1460.2032
Iteration 506: Best Cost = 1460.2032
Iteration 507: Best Cost = 1460.2032
Iteration 508: Best Cost = 1460.2032
Iteration 509: Best Cost = 1460.2032
Iteration 510: Best Cost = 1460.2032
Iteration 511: Best Cost = 1460.2032
Iteration 512: Best Cost = 1460.2032
Iteration 513: Best Cost = 1460.2032
Iteration 514: Best Cost = 1460.2032
Iteration 515: Best Cost = 1460.2032
Iteration 516: Best Cost = 1460.2032
Iteration 517: Best Cost = 1460.2032
Iteration 518: Best Cost = 1460.2032
Iteration 519: Best Cost = 1460.2032
Iteration 520: Best Cost = 1460.2032
Iteration 521: Best Cost = 1460.2032
Iteration 522: Best Cost = 1460.2032
Iteration 523: Best Cost = 1460.2032
Iteration 524: Best Cost = 1460.2032
Iteration 525: Best Cost = 1460.2032
Iteration 526: Best Cost = 1460.2032
Iteration 527: Best Cost = 1460.2032
Iteration 528: Best Cost = 1460.2032
Iteration 529: Best Cost = 1460.2032
Iteration 530: Best Cost = 1460.2032
Iteration 531: Best Cost = 1460.2032
Iteration 532: Best Cost = 1460.2032
Iteration 533: Best Cost = 1460.2032
Iteration 534: Best Cost = 1460.2032
Iteration 535: Best Cost = 1460.2032
Iteration 536: Best Cost = 1460.2032
Iteration 537: Best Cost = 1460.2032
Iteration 538: Best Cost = 1460.2032
Iteration 539: Best Cost = 1460.2032
Iteration 540: Best Cost = 1460.2032
Iteration 541: Best Cost = 1460.2032
1460.203220379299
38563.41785513
Fri Jun  6 10:14:33 -03 2025
